"R.native","FormalUnicodeNotation","Desc","Group","Subgroup","Status","WAImpMatch"
"🤷🏾‍♂","U+1F937 U+1F3FE U+200D U+2642","man shrugging: medium-dark skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🤷🏿‍♂","U+1F937 U+1F3FF U+200D U+2642","man shrugging: dark skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙎‍♀","U+1F64E U+200D U+2640","woman pouting","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙎🏻‍♀","U+1F64E U+1F3FB U+200D U+2640","woman pouting: light skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙎🏼‍♀","U+1F64E U+1F3FC U+200D U+2640","woman pouting: medium-light skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙎🏽‍♀","U+1F64E U+1F3FD U+200D U+2640","woman pouting: medium skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙎🏾‍♀","U+1F64E U+1F3FE U+200D U+2640","woman pouting: medium-dark skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙎🏿‍♀","U+1F64E U+1F3FF U+200D U+2640","woman pouting: dark skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙎‍♂","U+1F64E U+200D U+2642","man pouting","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙎🏻‍♂","U+1F64E U+1F3FB U+200D U+2642","man pouting: light skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙎🏼‍♂","U+1F64E U+1F3FC U+200D U+2642","man pouting: medium-light skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙎🏽‍♂","U+1F64E U+1F3FD U+200D U+2642","man pouting: medium skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙎🏾‍♂","U+1F64E U+1F3FE U+200D U+2642","man pouting: medium-dark skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙎🏿‍♂","U+1F64E U+1F3FF U+200D U+2642","man pouting: dark skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙍‍♀","U+1F64D U+200D U+2640","woman frowning","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙍🏻‍♀","U+1F64D U+1F3FB U+200D U+2640","woman frowning: light skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙍🏼‍♀","U+1F64D U+1F3FC U+200D U+2640","woman frowning: medium-light skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙍🏽‍♀","U+1F64D U+1F3FD U+200D U+2640","woman frowning: medium skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙍🏾‍♀","U+1F64D U+1F3FE U+200D U+2640","woman frowning: medium-dark skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙍🏿‍♀","U+1F64D U+1F3FF U+200D U+2640","woman frowning: dark skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙍‍♂","U+1F64D U+200D U+2642","man frowning","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙍🏻‍♂","U+1F64D U+1F3FB U+200D U+2642","man frowning: light skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙍🏼‍♂","U+1F64D U+1F3FC U+200D U+2642","man frowning: medium-light skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙍🏽‍♂","U+1F64D U+1F3FD U+200D U+2642","man frowning: medium skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙍🏾‍♂","U+1F64D U+1F3FE U+200D U+2642","man frowning: medium-dark skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"🙍🏿‍♂","U+1F64D U+1F3FF U+200D U+2642","man frowning: dark skin tone","SmileysNPeople","PersonGesture","non-fully-qualified","Yes"
"💇‍♀","U+1F487 U+200D U+2640","woman getting haircut","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💇🏻‍♀","U+1F487 U+1F3FB U+200D U+2640","woman getting haircut: light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💇🏼‍♀","U+1F487 U+1F3FC U+200D U+2640","woman getting haircut: medium-light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💇🏽‍♀","U+1F487 U+1F3FD U+200D U+2640","woman getting haircut: medium skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💇🏾‍♀","U+1F487 U+1F3FE U+200D U+2640","woman getting haircut: medium-dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💇🏿‍♀","U+1F487 U+1F3FF U+200D U+2640","woman getting haircut: dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💇‍♂","U+1F487 U+200D U+2642","man getting haircut","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💇🏻‍♂","U+1F487 U+1F3FB U+200D U+2642","man getting haircut: light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💇🏼‍♂","U+1F487 U+1F3FC U+200D U+2642","man getting haircut: medium-light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💇🏽‍♂","U+1F487 U+1F3FD U+200D U+2642","man getting haircut: medium skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💇🏾‍♂","U+1F487 U+1F3FE U+200D U+2642","man getting haircut: medium-dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💇🏿‍♂","U+1F487 U+1F3FF U+200D U+2642","man getting haircut: dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💆‍♀","U+1F486 U+200D U+2640","woman getting massage","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💆🏻‍♀","U+1F486 U+1F3FB U+200D U+2640","woman getting massage: light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💆🏼‍♀","U+1F486 U+1F3FC U+200D U+2640","woman getting massage: medium-light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💆🏽‍♀","U+1F486 U+1F3FD U+200D U+2640","woman getting massage: medium skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💆🏾‍♀","U+1F486 U+1F3FE U+200D U+2640","woman getting massage: medium-dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💆🏿‍♀","U+1F486 U+1F3FF U+200D U+2640","woman getting massage: dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💆‍♂","U+1F486 U+200D U+2642","man getting massage","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💆🏻‍♂","U+1F486 U+1F3FB U+200D U+2642","man getting massage: light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💆🏼‍♂","U+1F486 U+1F3FC U+200D U+2642","man getting massage: medium-light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💆🏽‍♂","U+1F486 U+1F3FD U+200D U+2642","man getting massage: medium skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💆🏾‍♂","U+1F486 U+1F3FE U+200D U+2642","man getting massage: medium-dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💆🏿‍♂","U+1F486 U+1F3FF U+200D U+2642","man getting massage: dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🧖‍♀","U+1F9D6 U+200D U+2640","woman in steamy room","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🧖🏻‍♀","U+1F9D6 U+1F3FB U+200D U+2640","woman in steamy room: light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🧖🏼‍♀","U+1F9D6 U+1F3FC U+200D U+2640","woman in steamy room: medium-light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🧖🏽‍♀","U+1F9D6 U+1F3FD U+200D U+2640","woman in steamy room: medium skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🧖🏾‍♀","U+1F9D6 U+1F3FE U+200D U+2640","woman in steamy room: medium-dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🧖🏿‍♀","U+1F9D6 U+1F3FF U+200D U+2640","woman in steamy room: dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🧖‍♂","U+1F9D6 U+200D U+2642","man in steamy room","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🧖🏻‍♂","U+1F9D6 U+1F3FB U+200D U+2642","man in steamy room: light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🧖🏼‍♂","U+1F9D6 U+1F3FC U+200D U+2642","man in steamy room: medium-light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🧖🏽‍♂","U+1F9D6 U+1F3FD U+200D U+2642","man in steamy room: medium skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🧖🏾‍♂","U+1F9D6 U+1F3FE U+200D U+2642","man in steamy room: medium-dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🧖🏿‍♂","U+1F9D6 U+1F3FF U+200D U+2642","man in steamy room: dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"💅","U+1F485","nail polish","SmileysNPeople","Body","fully-qualified","Yes"
"💅🏻","U+1F485 U+1F3FB","nail polish: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"💅🏼","U+1F485 U+1F3FC","nail polish: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"💅🏽","U+1F485 U+1F3FD","nail polish: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"💅🏾","U+1F485 U+1F3FE","nail polish: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"💅🏿","U+1F485 U+1F3FF","nail polish: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤳","U+1F933","selfie","SmileysNPeople","Body","fully-qualified","Yes"
"🤳🏻","U+1F933 U+1F3FB","selfie: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤳🏼","U+1F933 U+1F3FC","selfie: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤳🏽","U+1F933 U+1F3FD","selfie: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤳🏾","U+1F933 U+1F3FE","selfie: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤳🏿","U+1F933 U+1F3FF","selfie: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"💃","U+1F483","woman dancing","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"💃🏻","U+1F483 U+1F3FB","woman dancing: light skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"💃🏼","U+1F483 U+1F3FC","woman dancing: medium-light skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"💃🏽","U+1F483 U+1F3FD","woman dancing: medium skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"💃🏾","U+1F483 U+1F3FE","woman dancing: medium-dark skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"💃🏿","U+1F483 U+1F3FF","woman dancing: dark skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"🕺","U+1F57A","man dancing","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"🕺🏻","U+1F57A U+1F3FB","man dancing: light skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"🕺🏼","U+1F57A U+1F3FC","man dancing: medium-light skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"🕺🏽","U+1F57A U+1F3FD","man dancing: medium skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"🕺🏾","U+1F57A U+1F3FE","man dancing: medium-dark skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"🕺🏿","U+1F57A U+1F3FF","man dancing: dark skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"👯‍♀","U+1F46F U+200D U+2640","women with bunny ears","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"👯🏻‍♀","U+1F46F U+200D U+2640 U+1F3FB","women with bunny ears: light skin tone","SmileysNPeople","PersonActvity","fully-qualified","Yes"
"👯🏼‍♀","U+1F46F U+200D U+2640 U+1F3FC","women with bunny ears: medium-light skin tone","SmileysNPeople","PersonActvity","fully-qualified","Yes"
"👯🏽‍♀","U+1F46F U+200D U+2640 U+1F3FD","women with bunny ears: medium skin tone","SmileysNPeople","PersonActvity","fully-qualified","Yes"
"👯🏾‍♀","U+1F46F U+200D U+2640 U+1F3FE","women with bunny ears: medium-dark skin tone","SmileysNPeople","PersonActvity","fully-qualified","Yes"
"👯🏿‍♀","U+1F46F U+200D U+2640 U+1F3FF","women with bunny ears: dark skin tone","SmileysNPeople","PersonActvity","fully-qualified","Yes"
"👯‍♂","U+1F46F U+200D U+2642","men with bunny ears","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"👯🏻‍♂","U+1F46F U+200D U+2642 U+1F3FB","men with bunny ears: light skin tone","SmileysNPeople","PersonActvity","fully-qualified","Yes"
"👯🏼‍♂","U+1F46F U+200D U+2642 U+1F3FC","men with bunny ears: medium-light skin tone","SmileysNPeople","PersonActvity","fully-qualified","Yes"
"👯🏽‍♂","U+1F46F U+200D U+2642 U+1F3FD","men with bunny ears: medium skin tone","SmileysNPeople","PersonActvity","fully-qualified","Yes"
"👯🏾‍♂","U+1F46F U+200D U+2642 U+1F3FE","men with bunny ears: medium-dark skin tone","SmileysNPeople","PersonActvity","fully-qualified","Yes"
"👯🏿‍♂","U+1F46F U+200D U+2642 U+1F3FF","men with bunny ears: dark skin tone","SmileysNPeople","PersonActvity","fully-qualified","Yes"
"🕴","U+1F574","man in suit levitating","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🕴🏻","U+1F574 U+1F3FB","man in suit levitating: light skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"🕴🏼","U+1F574 U+1F3FC","man in suit levitating: medium-light skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"🕴🏽","U+1F574 U+1F3FD","man in suit levitating: medium skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"🕴🏾","U+1F574 U+1F3FE","man in suit levitating: medium-dark skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"🕴🏿","U+1F574 U+1F3FF","man in suit levitating: dark skin tone","SmileysNPeople","PersonActivity","fully-qualified","Yes"
"🚶‍♀","U+1F6B6 U+200D U+2640","woman walking","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🚶🏻‍♀","U+1F6B6 U+1F3FB U+200D U+2640","woman walking: light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🚶🏼‍♀","U+1F6B6 U+1F3FC U+200D U+2640","woman walking: medium-light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🚶🏽‍♀","U+1F6B6 U+1F3FD U+200D U+2640","woman walking: medium skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🚶🏾‍♀","U+1F6B6 U+1F3FE U+200D U+2640","woman walking: medium-dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🚶🏿‍♀","U+1F6B6 U+1F3FF U+200D U+2640","woman walking: dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🚶‍♂","U+1F6B6 U+200D U+2642","man walking","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🚶🏻‍♂","U+1F6B6 U+1F3FB U+200D U+2642","man walking: light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🚶🏼‍♂","U+1F6B6 U+1F3FC U+200D U+2642","man walking: medium-light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🚶🏽‍♂","U+1F6B6 U+1F3FD U+200D U+2642","man walking: medium skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🚶🏾‍♂","U+1F6B6 U+1F3FE U+200D U+2642","man walking: medium-dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🚶🏿‍♂","U+1F6B6 U+1F3FF U+200D U+2642","man walking: dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🏃‍♀","U+1F3C3 U+200D U+2640","woman running","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🏃🏻‍♀","U+1F3C3 U+1F3FB U+200D U+2640","woman running: light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🏃🏼‍♀","U+1F3C3 U+1F3FC U+200D U+2640","woman running: medium-light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🏃🏽‍♀","U+1F3C3 U+1F3FD U+200D U+2640","woman running: medium skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🏃🏾‍♀","U+1F3C3 U+1F3FE U+200D U+2640","woman running: medium-dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🏃🏿‍♀","U+1F3C3 U+1F3FF U+200D U+2640","woman running: dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🏃‍♂","U+1F3C3 U+200D U+2642","man running","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🏃🏻‍♂","U+1F3C3 U+1F3FB U+200D U+2642","man running: light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🏃🏼‍♂","U+1F3C3 U+1F3FC U+200D U+2642","man running: medium-light skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🏃🏽‍♂","U+1F3C3 U+1F3FD U+200D U+2642","man running: medium skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🏃🏾‍♂","U+1F3C3 U+1F3FE U+200D U+2642","man running: medium-dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"🏃🏿‍♂","U+1F3C3 U+1F3FF U+200D U+2642","man running: dark skin tone","SmileysNPeople","PersonActivity","non-fully-qualified","Yes"
"👫","U+1F46B","man and woman holding hands","SmileysNPeople","Family","fully-qualified","Yes"
"👭","U+1F46D","two women holding hands","SmileysNPeople","Family","fully-qualified","Yes"
"👬","U+1F46C","two men holding hands","SmileysNPeople","Family","fully-qualified","Yes"
"💑","U+1F491","couple with heart","SmileysNPeople","Family","fully-qualified","Yes"
"👩‍❤‍👩","U+1F469 U+200D U+2764 U+200D U+1F469","couple with heart: woman, woman","SmileysNPeople","Family","non-fully-qualified","Yes"
"👨‍❤‍👨","U+1F468 U+200D U+2764 U+200D U+1F468","couple with heart: man, man","SmileysNPeople","Family","non-fully-qualified","Yes"
"💏","U+1F48F","kiss","SmileysNPeople","Family","fully-qualified","Yes"
"👩‍❤‍💋‍👩","U+1F469 U+200D U+2764 U+200D U+1F48B U+200D U+1F469","kiss: woman, woman","SmileysNPeople","Family","non-fully-qualified","Yes"
"👨‍❤‍💋‍👨","U+1F468 U+200D U+2764 U+200D U+1F48B U+200D U+1F468","kiss: man, man","SmileysNPeople","Family","non-fully-qualified","Yes"
"👪","U+1F46A","family","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👩‍👧","U+1F468 U+200D U+1F469 U+200D U+1F467","family: man, woman, girl","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👩‍👧‍👦","U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466","family: man, woman, girl, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👩‍👦‍👦","U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466","family: man, woman, boy, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👩‍👧‍👧","U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467","family: man, woman, girl, girl","SmileysNPeople","Family","fully-qualified","Yes"
"👩‍👩‍👦","U+1F469 U+200D U+1F469 U+200D U+1F466","family: woman, woman, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👩‍👩‍👧","U+1F469 U+200D U+1F469 U+200D U+1F467","family: woman, woman, girl","SmileysNPeople","Family","fully-qualified","Yes"
"👩‍👩‍👧‍👦","U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466","family: woman, woman, girl, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👩‍👩‍👦‍👦","U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466","family: woman, woman, boy, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👩‍👩‍👧‍👧","U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467","family: woman, woman, girl, girl","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👨‍👦","U+1F468 U+200D U+1F468 U+200D U+1F466","family: man, man, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👨‍👧","U+1F468 U+200D U+1F468 U+200D U+1F467","family: man, man, girl","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👨‍👧‍👦","U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466","family: man, man, girl, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👨‍👦‍👦","U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466","family: man, man, boy, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👨‍👧‍👧","U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467","family: man, man, girl, girl","SmileysNPeople","Family","fully-qualified","Yes"
"👩‍👦","U+1F469 U+200D U+1F466","family: woman, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👩‍👧","U+1F469 U+200D U+1F467","family: woman, girl","SmileysNPeople","Family","fully-qualified","Yes"
"👩‍👧‍👦","U+1F469 U+200D U+1F467 U+200D U+1F466","family: woman, girl, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👩‍👦‍👦","U+1F469 U+200D U+1F466 U+200D U+1F466","family: woman, boy, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👩‍👧‍👧","U+1F469 U+200D U+1F467 U+200D U+1F467","family: woman, girl, girl","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👦","U+1F468 U+200D U+1F466","family: man, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👧","U+1F468 U+200D U+1F467","family: man, girl","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👧‍👦","U+1F468 U+200D U+1F467 U+200D U+1F466","family: man, girl, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👦‍👦","U+1F468 U+200D U+1F466 U+200D U+1F466","family: man, boy, boy","SmileysNPeople","Family","fully-qualified","Yes"
"👨‍👧‍👧","U+1F468 U+200D U+1F467 U+200D U+1F467","family: man, girl, girl","SmileysNPeople","Family","fully-qualified","Yes"
"🧥","U+1F9E5","coat","SmileysNPeople","Clothing","fully-qualified","Yes"
"👚","U+1F45A","woman's clothes","SmileysNPeople","Clothing","fully-qualified","Yes"
"👕","U+1F455","t-shirt","SmileysNPeople","Clothing","fully-qualified","Yes"
"👖","U+1F456","jeans","SmileysNPeople","Clothing","fully-qualified","Yes"
"👔","U+1F454","necktie","SmileysNPeople","Clothing","fully-qualified","Yes"
"👗","U+1F457","dress","SmileysNPeople","Clothing","fully-qualified","Yes"
"👙","U+1F459","bikini","SmileysNPeople","Clothing","fully-qualified","Yes"
"👘","U+1F458","kimono","SmileysNPeople","Clothing","fully-qualified","Yes"
"👠","U+1F460","high-heeled shoe","SmileysNPeople","Clothing","fully-qualified","Yes"
"👡","U+1F461","woman's sandal","SmileysNPeople","Clothing","fully-qualified","Yes"
"👢","U+1F462","woman's boot","SmileysNPeople","Clothing","fully-qualified","Yes"
"👞","U+1F45E","man's shoe","SmileysNPeople","Clothing","fully-qualified","Yes"
"👟","U+1F45F","running shoe","SmileysNPeople","Clothing","fully-qualified","Yes"
"🧦","U+1F9E6","socks","SmileysNPeople","Clothing","fully-qualified","Yes"
"🧤","U+1F9E4","gloves","SmileysNPeople","Clothing","fully-qualified","Yes"
"🧣","U+1F9E3","scarf","SmileysNPeople","Clothing","fully-qualified","Yes"
"🎩","U+1F3A9","top hat","SmileysNPeople","Clothing","fully-qualified","Yes"
"🧢","U+1F9E2","billed cap","SmileysNPeople","Clothing","fully-qualified","Yes"
"👒","U+1F452","woman's hat","SmileysNPeople","Clothing","fully-qualified","Yes"
"🎓","U+1F393","graduation cap","SmileysNPeople","Clothing","fully-qualified","Yes"
"⛑","U+26D1","rescue worker's helmet","SmileysNPeople","Clothing","non-fully-qualified","Yes"
"👑","U+1F451","crown","SmileysNPeople","Clothing","fully-qualified","Yes"
"👝","U+1F45D","clutch bag","SmileysNPeople","Clothing","fully-qualified","Yes"
"👛","U+1F45B","purse","SmileysNPeople","Clothing","fully-qualified","Yes"
"👜","U+1F45C","handbag","SmileysNPeople","Clothing","fully-qualified","Yes"
"💼","U+1F4BC","briefcase","Objects","Office","fully-qualified","Yes"
"🎒","U+1F392","school backpack","SmileysNPeople","Clothing","fully-qualified","Yes"
"👓","U+1F453","glasses","SmileysNPeople","Clothing","fully-qualified","Yes"
"🕶","U+1F576","sunglasses","SmileysNPeople","Clothing","non-fully-qualified","Yes"
"🌂","U+1F302","closed umbrella","TravelNPlaces","SkyNWeather","fully-qualified","Yes"
"🐶","U+1F436","dog face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐱","U+1F431","cat face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐭","U+1F42D","mouse face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐹","U+1F439","hamster face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐰","U+1F430","rabbit face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🦊","U+1F98A","fox face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐻","U+1F43B","bear face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐼","U+1F43C","panda face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐨","U+1F428","koala","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐯","U+1F42F","tiger face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🦁","U+1F981","lion face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐮","U+1F42E","cow face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐷","U+1F437","pig face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐽","U+1F43D","pig nose","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐸","U+1F438","frog face","AnimalsNNaturee","AnimalAmphibian","fully-qualified","Yes"
"🐵","U+1F435","monkey face","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🙈","U+1F648","see-no-evil monkey","SmileysNPeople","FaceMonkey","fully-qualified","Yes"
"🙉","U+1F649","hear-no-evil monkey","SmileysNPeople","FaceMonkey","fully-qualified","Yes"
"🙊","U+1F64A","speak-no-evil monkey","SmileysNPeople","FaceMonkey","fully-qualified","Yes"
"🐒","U+1F412","monkey","AnimalsNNaturee","AnimalMammal","fully-qualified","Yes"
"🐔","U+1F414","chicken","AnimalsNNaturee","AnimalBird","fully-qualified","Yes"
"🐧","U+1F427","penguin","AnimalsNNaturee","AnimalBird","fully-qualified","Yes"
"🐦","U+1F426","bird","AnimalsNNaturee","AnimalBird","fully-qualified","Yes"
"🐤","U+1F424","baby chick","AnimalsNNaturee","AnimalBird","fully-qualified","Yes"
"🐣","U+1F423","hatching chick","AnimalsNNaturee","AnimalBird","fully-qualified","Yes"
