"R.native","FormalUnicodeNotation","Desc","Group","Subgroup","Status","WAImpMatch"
"😺","U+1F63A","grinning cat face","SmileysNPeople","FaceCat","fully-qualified","Yes"
"😸","U+1F638","grinning cat face with smiling eyes","SmileysNPeople","FaceCat","fully-qualified","Yes"
"😹","U+1F639","cat face with tears of joy","SmileysNPeople","FaceCat","fully-qualified","Yes"
"😻","U+1F63B","smiling cat face with heart-eyes","SmileysNPeople","FaceCat","fully-qualified","Yes"
"😼","U+1F63C","cat face with wry smile","SmileysNPeople","FaceCat","fully-qualified","Yes"
"😽","U+1F63D","kissing cat face","SmileysNPeople","FaceCat","fully-qualified","Yes"
"🙀","U+1F640","weary cat face","SmileysNPeople","FaceCat","fully-qualified","Yes"
"😿","U+1F63F","crying cat face","SmileysNPeople","FaceCat","fully-qualified","Yes"
"😾","U+1F63E","pouting cat face","SmileysNPeople","FaceCat","fully-qualified","Yes"
"🤲","U+1F932","palms up together","SmileysNPeople","Body","fully-qualified","Yes"
"🤲🏻","U+1F932 U+1F3FB","palms up together: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤲🏼","U+1F932 U+1F3FC","palms up together: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤲🏽","U+1F932 U+1F3FD","palms up together: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤲🏾","U+1F932 U+1F3FE","palms up together: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤲🏿","U+1F932 U+1F3FF","palms up together: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👐","U+1F450","open hands","SmileysNPeople","Body","fully-qualified","Yes"
"👐🏻","U+1F450 U+1F3FB","open hands: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👐🏼","U+1F450 U+1F3FC","open hands: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👐🏽","U+1F450 U+1F3FD","open hands: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👐🏾","U+1F450 U+1F3FE","open hands: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👐🏿","U+1F450 U+1F3FF","open hands: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🙌","U+1F64C","raising hands","SmileysNPeople","Body","fully-qualified","Yes"
"🙌🏻","U+1F64C U+1F3FB","raising hands: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🙌🏼","U+1F64C U+1F3FC","raising hands: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🙌🏽","U+1F64C U+1F3FD","raising hands: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🙌🏾","U+1F64C U+1F3FE","raising hands: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🙌🏿","U+1F64C U+1F3FF","raising hands: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👏","U+1F44F","clapping hands","SmileysNPeople","Body","fully-qualified","Yes"
"👏🏻","U+1F44F U+1F3FB","clapping hands: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👏🏼","U+1F44F U+1F3FC","clapping hands: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👏🏽","U+1F44F U+1F3FD","clapping hands: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👏🏾","U+1F44F U+1F3FE","clapping hands: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👏🏿","U+1F44F U+1F3FF","clapping hands: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤝","U+1F91D","handshake","SmileysNPeople","Body","fully-qualified","Yes"
"🤝🏻","U+1F91D U+1F3FB","handshake: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤝🏼","U+1F91D U+1F3FC","handshake: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤝🏽","U+1F91D U+1F3FD","handshake: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤝🏾","U+1F91D U+1F3FE","handshake: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤝🏿","U+1F91D U+1F3FF","handshake: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👍","U+1F44D","thumbs up","SmileysNPeople","Body","fully-qualified","Yes"
"👍🏻","U+1F44D U+1F3FB","thumbs up: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👍🏼","U+1F44D U+1F3FC","thumbs up: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👍🏽","U+1F44D U+1F3FD","thumbs up: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👍🏾","U+1F44D U+1F3FE","thumbs up: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
